date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jul 25 2015,2015-07-25,13.043,977,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 26 2015,2015-07-26,12.618,995,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 27 2015,2015-07-27,12.87,1133,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 28 2015,2015-07-28,12.741,1065,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 29 2015,2015-07-29,12.789,1067,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 30 2015,2015-07-30,12.776,1023,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Jul 31 2015,2015-07-31,12.766,1066,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 01 2015,2015-08-01,12.536,1084,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 02 2015,2015-08-02,12.385,1085,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 03 2015,2015-08-03,12.435,1125,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 04 2015,2015-08-04,12.564,991,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 05 2015,2015-08-05,12.268,1049,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 06 2015,2015-08-06,12.031,1062,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 07 2015,2015-08-07,11.922,1094,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 08 2015,2015-08-08,11.738,996,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
