date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jan 29 2016,2016-01-29,28.659,100,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 30 2016,2016-01-30,28.709,92,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 31 2016,2016-01-31,29.249,86,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 01 2016,2016-02-01,26.917,94,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 02 2016,2016-02-02,27.636,71,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 03 2016,2016-02-03,27.488,96,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 04 2016,2016-02-04,26.931,85,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 05 2016,2016-02-05,28.262,97,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 06 2016,2016-02-06,26.762,100,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 07 2016,2016-02-07,25.429,100,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 08 2016,2016-02-08,25.654,84,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 09 2016,2016-02-09,26.97,86,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 10 2016,2016-02-10,28.207,72,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 11 2016,2016-02-11,28.222,74,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 12 2016,2016-02-12,28.043,90,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 13 2016,2016-02-13,28.503,79,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 14 2016,2016-02-14,28.398,77,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 15 2016,2016-02-15,28.753,88,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 16 2016,2016-02-16,30.142,70,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 17 2016,2016-02-17,29.348,74,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 18 2016,2016-02-18,26.045,130,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 19 2016,2016-02-19,27.845,100,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 20 2016,2016-02-20,28.147,97,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 21 2016,2016-02-21,27.159,93,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 22 2016,2016-02-22,26.553,100,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 23 2016,2016-02-23,27.693,81,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 24 2016,2016-02-24,26.669,90,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 25 2016,2016-02-25,27.166,80,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 26 2016,2016-02-26,27.858,102,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 27 2016,2016-02-27,27.162,110,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
