date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Sep 26 2014,2014-09-26,2.225,40,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 27 2014,2014-09-27,2.18,41,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 28 2014,2014-09-28,2.174,54,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 29 2014,2014-09-29,2.241,50,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Sep 30 2014,2014-09-30,2.275,48,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Oct 01 2014,2014-10-01,2.233,47,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Oct 02 2014,2014-10-02,2.201,50,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Oct 03 2014,2014-10-03,2.181,55,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Oct 04 2014,2014-10-04,2.23,72,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Oct 05 2014,2014-10-05,2.297,54,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Oct 06 2014,2014-10-06,2.315,42,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Oct 07 2014,2014-10-07,2.387,34,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Oct 08 2014,2014-10-08,2.174,40,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Oct 09 2014,2014-10-09,2.291,57,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Oct 10 2014,2014-10-10,2.287,49,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Oct 11 2014,2014-10-11,2.178,56,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Oct 12 2014,2014-10-12,2.39,55,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
